	name	tweet	affiliation	year	month
37538	G. K. Butterfield	honored wilson oic foun pres howard jones awarded outstanding rural leader year	D	2015	10
37539	Senate Energy GOP	good news slope #oil drilling #alaska	D	2015	10
37540	Rep. Joe Crowley	urge work us replace sequester cuts defense non-defense priorities ensure #strongeramericanfuture	D	2015	10
37541	Senator Chris Coons	countdown annual holiday job fair dozens stores christiana mall looking hire seasonal positions today 3-7 p	D	2015	10
37542	Rep. Mia Love	today kept promise utah voted raise #debtceiling budget bad america	D	2015	10
37543	Sheila Jackson Lee	fact  partisan quest #benghazi  underscored last week  time disband	D	2015	10
37544	Brian Higgins	us infrastructure grade highway bill expires 10/29 let  put #peopleoverpolitics fix roads bridges	D	2015	10
37545	Chuck Schumer	northern spy favorite heirloom apple pies cider first found orchard east bloomfield #nytownoftheday	D	2015	10
37546	Ed Markey	#lwcf protects clean h20 open spaces pumps #ma economy helps #actonclimate keep pushing reauth	D	2015	10
37547	Brian Higgins	via bmha optimistic fosdick field return school create green space near	D	2015	10
37548	Earl Blumenauer	hope summon political courage stop gun violence need thoughts prayers need action	D	2015	10
37549	John Lewis	child care equal pay many ways us strengthen working families enable succeed #workingfamilies	D	2015	10
37550	Bernie Sanders	society proclaims human freedom goal must work unceasingly end discrimination people	D	2015	10
37551	Jim Himes	speech morning need us leadership end syrian civil war	D	2015	10
37552	Linda T. Sánchez	proud partner w take stand bullying support #lgbt youth #spiritday	D	2015	10
37553	Rep. Frank Pallone	happy birthday thank serve #240navybday	D	2015	10
37554	Rep. Don Beyer	congratulations amazing new #1776inva space welcome neighborhood	D	2015	10
37555	Bonnie WatsonColeman	estimated 250,000 alabamians don't acceptable form photo id cast ballot can't restrict access vote #openaldmv	D	2015	10
37556	Donald Norcross	promised i'd like meet special #southjersey family-named #angelsinadoption	D	2015	10
37557	Senator Jon Tester	today opposed #cisa must better job protecting #privacy law-abiding americans #mtpol	D	2015	10
37558	Donald Norcross	learning action democracyprep #camden camden new jersey	D	2015	10
37559	Adam Schiff	statement report republican whistleblower #benghazi committee fired refusing target clinton	D	2015	10
37560	Jerry McNerney	good piece ystrdy's press event way #waterfix tunnels would damage delta #cawater	D	2015	10
37561	Donald Norcross	right interviews positive impact port #paulsboro #southjersey	D	2015	10
37562	Joaquin Castro	americans mexico  hurricane patricia  path learn safety measures take	D	2015	10
37563	David Cicilline	headed little compton open office hours brownell library 10:30 -11:30 everyone welcome #reachout19	D	2015	10
37564	Paul Tonko	yesterday's vote makes clear enough gop opposition force leaders brink shutdown december	D	2015	10
37565	Ed Markey	#popefrancis saying congress make 21st century educated prosperous healthy next generation #ideasforum	D	2015	10
37566	Senator Chris Coons	 time re-open #exim put american jobs ahead politics #exim4jobs	D	2015	10
37567	Adam Schiff	congress follow ca's lead passing paycheck fairness act ensure #equalpay equal work nationwide	D	2015	10
37568	Senator Jon Tester	last opportunity sign live telephone town hall meeting tonight mt sportsmen #mtpol	D	2015	10
37569	Kathleen Rice	three years #sandy we've made real progress lot hard work ahead newsletter	D	2015	10
37570	Gerry Connolly	gop debate reflects dystopian view america disqualify	D	2015	10
37571	Senate Energy GOP	murkowski #oil reserve atm via	D	2015	10
37572	Bernie Sanders	today jp morgan chase bank america wells fargo larger today year taxpayers bailed	D	2015	10
37573	Carolyn  B. Maloney	beautiful day selikoff center presented dr landrigan flag capitol honor	D	2015	10
37574	David Cicilline	rhode island's loss chicago's gain wishing best continues work nonviolence windy city	D	2015	10
37575	Senator Ben Cardin	42,844 purchase #bodycameras upgrade security cameras purchase computer equipment	D	2015	10
37576	Bonnie WatsonColeman	week vote reconciliation package laying groundwork another #gopshutdown december unbelievable	D	2015	10
37577	SenateEnergyDems	live speaks summit #innovation #cybersecurity #energy issues #gwsummit	D	2015	10
37578	Rep. Ted Lieu	video call preserve protect #ouroceans rep coastal la county ca33 couldn't agree #actonclimate	D	2015	10
37579	Sheila Jackson Lee	what's next gun control	D	2015	10
37580	Gwen Moore	thank service communities #vista50 #volunteer #makeadifference	D	2015	10
37581	Rep. Keith Ellison	know smoking kills health country  citizens must always come corporate profits #tppkills	D	2015	10
37582	Rep. Betty McCollum	lots happening city hall johnson boatworks thanks wbl mayor jo emerson leadership community	D	2015	10
37583	Steny Hoyer	help people #makeitinamerica need fair redistricting reform essential democracy #miiawhatsnext	D	2015	10
37584	JEC Democrats	black unemployment ny double 5.5 rate whites #twoamericas	D	2015	10
37585	Senator Patty Murray	safe act would ensure support available every state  woman choose btwn job safety #besafe	D	2015	10
37586	Rep. Frank Pallone	discussed protecting consumers financial reform summit	D	2015	10
37587	Steny Hoyer	today marks beginning open enrollment #medicare  visit compare plan coverage costs	D	2015	10
37588	Armed Services	offers men women uniform authorities support need continue defending country #fy16ndaa	D	2015	10
37589	Rep. Frank Pallone	tune i'll #mtpdaily w live 5:15 pm discuss call hearing #fantasysports sports betting	D	2015	10
37590	SenateEnergyDems	#lwcf america  important conservation outdoor recreation jobs creation program via	D	2015	10
37591	Rep. Marcia L. Fudge	today #ohio's stepped miss house consider friend wish well retirement	D	2015	10
37592	Senate Energy GOP	stage set iranian #oil #exports u exports remain restricted #lifttheban	D	2015	10
37593	Rep. Emanuel Cleaver	good hitting great baseball far one 3rd #takethecrown	D	2015	10
37594	Donald Norcross	thank gloucester county welcoming freedom fund dinner 	D	2015	10
37595	Sen. Debbie Stabenow	wow see impressive pieces named finalists ? cc	D	2015	10
37596	Rep. Joe Crowley	today #latinaequalpay day day latina women finally catch white men's annual earnings	D	2015	10
37597	Rep. Frank Pallone	sea bright day dune committee campaign stay dunes	D	2015	10
37598	Chuck Schumer	embrace #autumninny try #nywine autumn moon farm winery bergen know #solar powered boot #nytownoftheday	D	2015	10
37599	Joaquin Castro	praying everyone safe sa area morning  tornados encouraging folks stay roads	D	2015	10
37600	Senator Joe Manchin	small businesses across #wv worried long enough let  build house done reauthorize ex-im bank #exim4jobs	D	2015	10
37601	Ed & Workforce Cmte	#cte programs help students gain tools need succeed today's workforce learn hearing tmrw	D	2015	10
37602	Brendan Boyle	exactly wks till debt ceiling deadline congress must act default would catastrophic	D	2015	10
37603	Chuck Schumer	nannen aboretum ellicottville contains different species #nytownoftheday	D	2015	10
37604	Senator Ben Cardin	societies thrive girls given opportunity reach full potential lets carry msg beyond today	D	2015	10
37605	SenateEnergyDems	items supports proposed #streamprotection rule enhanced monitoring reqs improved analyses impacts h2o 1/2	D	2015	10
37606	Rep. Roybal-Allard	fun paramount sr ctr's #halloween dance promoted medicare open enrollment info	D	2015	10
37607	D Wasserman Schultz	we're done equality real every american candidates get #demdebate	D	2015	10
37608	Donald Norcross	glad reached budget deal invests critical programs let's keep working together avoid shutdown	D	2015	10
37609	SenateEnergyDems	#tbt editorial #puertorico echoing calls urgency legislation oversight	D	2015	10
37610	Dutch Ruppersberger	speaking morning conference md nation's cyber security capital	D	2015	10
37611	Rep. Keith Ellison	know final text still hasn't released	D	2015	10
37612	Claire McCaskill	thank blast	D	2015	10
37613	Brendan Boyle	people think it's late biden run worth remembering bill clinton entered race october	D	2015	10
37614	SenateEnergyDems	#streamprotection rule modern balanced approach energy development protects h2o quality supports #energy needs	D	2015	10
37615	Nancy Pelosi	join larry wilmore 11:30 10:30 c evening tune #tonightly	D	2015	10
37616	Steny Hoyer	happy birthday friend oregon co-founder steam caucus adds art #stem	D	2015	10
37617	Rep. Ted Lieu	irresponsible sequester cuts restrict ability build #strongeramericanfuture need bipartisan budget agreement thoughts	D	2015	10
37618	Rep. Ed Perlmutter	want know  happening congress 7th district sign e-news ?	D	2015	10
37619	Bonnie WatsonColeman	3rd anniversary hurricane sandy's landfall reflect one devastating natural disasters american history	D	2015	10
37620	Rep. Rick Larsen	boze agree things important ha	D	2015	10
37621	Bonnie WatsonColeman	... filed complaint department labor armando lost job ...	D	2015	10
37622	Senate Energy GOP	#wotus suspended corps memos show dissention final rule via	D	2015	10
37623	Luis V. Gutierrez	speaking make america  next hearing role imms play #chicago nation economy watch	D	2015	10
37624	Ed & Workforce Cmte	coming workforce protections subcommittee meet w #minesafety stakeholders witness list info	D	2015	10
37625	Amy Klobuchar	wishing friend congrats retirement mn afl-cio president thanks fighting workers families	D	2015	10
37626	Amy Klobuchar	testified international trade commission press crackdown unfair subsidization canadian paper imports hurts mn workers	D	2015	10
37627	David Cicilline	thanks great see	D	2015	10
37628	Sen. Debbie Stabenow	#spartans showdown hoosiers home turf today #gogreen	D	2015	10
37629	Brian Higgins	thanks buffalo passport agency today residents use services wny instead traveling nyc appt	D	2015	10
37630	Sheila Jackson Lee	fact average woman lost 420,000 working lifetime due earnings gap #equalpay #workingfamilies	D	2015	10
37631	David Cicilline	get well soon friend colleague sending best wishes speedy recovery	D	2015	10
37632	Carolyn  B. Maloney	big win today american exporters good paying jobs bipartisan effort moves #eximbank renewal toward vote	D	2015	10
37633	Jim Himes	come	D	2015	10
37634	Chuck Schumer	hope you'll take closer look share w friends family wary makeup face paints made china	D	2015	10
37635	Paul Tonko	republican leadership become complicit largest rollback voting rights years must start working #restorethevra	D	2015	10
37636	Steny Hoyer	thanks leading letter signed dem members calling clean debt limit extension pay nation  bills	D	2015	10
37637	Steny Hoyer	today #adalovelaceday opportunity celebrate #womeninscience achievements #stem disciplines	D	2015	10
37638	Donald Norcross	#budgetdeal prevents cut disability benefits millions extends solvency social security disability insurance	D	2015	10
37639	Eleanor H. Norton	don't miss roundtable tonight rise hispanics us power reckoned 7:45- 8: 15pm v st ne	D	2015	10
37640	Senate Energy GOP	life-long california resident i've witnessed impacts #drought bill	D	2015	10
37641	Senator Joe Manchin	need end failed syria train equip program seek alt ways forward instead aiding forces aim defeat	D	2015	10
37642	Brian Higgins	irs criminal investigation division special agent charge tom bishop deputy chief fort ken pantera	D	2015	10
37643	Senator Ben Cardin	floor right talking dangerous backlog nominees	D	2015	10
37644	Rep. Marcia L. Fudge	yrs us jobs require training beyond high school #ohio career tech education available every public high school	D	2015	10
37645	Chellie Pingree	know outstanding maine small biz owner nominate annual award #mepolitics	D	2015	10
37646	Senator Ben Cardin	good catch	D	2015	10
37647	JEC Democrats	states must reinvest higher ed make community college free raise funding pell grants	D	2015	10
37648	David Cicilline	congratulates new hopes work toward ending dc gridlock	D	2015	10
37649	JEC Democrats	icymi speaks #latinos report w #latinosachieve	D	2015	10
37650	Rep. Debbie Dingell	can't let economy ruined chaos congress must job meet deadlines #peopleoverpolitics	D	2015	10
37651	Steny Hoyer	joined dem leaders urge house gop leaders bring floor clean bill pay america  bills	D	2015	10
37652	Brendan Boyle	ribbon cutting ceremony karabots medical building norristown part einstein healthcare network	D	2015	10
37653	Senator Patty Murray	must continue working together dismantle school prison pipeline help provide pathways students	D	2015	10
37654	Rep. Emanuel Cleaver	herrera comes nail 6th let's get get hits #takethecrown	D	2015	10
37655	Ed & Workforce Cmte	helping low-income children succeed classroom priority stretched across party lines decades #headstart	D	2015	10
37656	Senator Bob Menendez	let's raise awareness abt health disparities among hispanics need fairness healthcare #hispanicheritagemonth #hhmsalud	D	2015	10
37657	US Rep E.B.Johnson	october #nationalbullyingpreventionmonth must take stand reduce bullying amongst youth	D	2015	10
37658	Mark DeSaulnier	proud supported rule changes law allowed cheat	D	2015	10
37659	Bernie Sanders	civil liberties right privacy  price pay security #cisa	D	2015	10
37660	Rep. Keith Ellison	promoting bicycle safety good police-community relationships today #bikecops4kids	D	2015	10
37661	David Cicilline	happy birthday colleague senator betty crowley	D	2015	10
37662	US Rep E.B.Johnson	#firepreventionweek learn keep family safe fire	D	2015	10
37663	SenateEnergyDems	need protect open space important washington economy #lwcf	D	2015	10
37664	Kathleen Rice	glad tonight #exim4jobs get bipartisan support deserves helps american businesses create jobs makes money taxpayers	D	2015	10
37665	Rep. Frank Pallone	trunk treat mayor mccormac budding law enforcement officers	D	2015	10
37666	Donald Norcross	list #flu shot clinics #gloucester county	D	2015	10
37667	Bernie Sanders	deregulating wall street lead concentration economic power country #tbt	D	2015	10
37668	Senator Chris Coons	davis incredible job engaging youth #mfg young man working fan motor panels	D	2015	10
37669	Sen. Jeanne Shaheen	ty everyone submitted pics beautiful fall foliage here's one michelle elbow pond andover	D	2015	10
37670	Rep. Frank Pallone	hanging elmo port reading community day	D	2015	10
37671	Mark Warner	technology test senator along ride  driver-less ride	D	2015	10
37672	Steny Hoyer	video spoke support motion force vote #exim4jobs tonight  received support members	D	2015	10
37673	Sen Dianne Feinstein	compared twin trailers road today twin 33ft trailers need extra 20ft stop  allow	D	2015	10
37674	Ways and Means Dems	irs spent million investigation 4x amount taxpayer spent #benghazi investigation	D	2015	10
37675	Armed Services	straight years congresses parties passed presidents parties signed bill ... #fy16ndaa	D	2015	10
37676	Bernie Sanders	embarrassment major political party rejects overwhelming science climate change	D	2015	10
37677	Brian Higgins	yes i'm fighting esp w bill 1t yrs gop leadership hasn't made priority	D	2015	10
37678	Rep. Don Beyer	listening author #beyondhappy talk #womenwork	D	2015	10
37679	Congressman Tim Ryan	mccarthy dropping speaker race proof republicans continued dysfunction lack leadership nation deserves better	D	2015	10
37680	Senator Jon Tester	incredible honor recognize montana #veterans award medals earned #mtpol	D	2015	10
37681	Donald Norcross	honored celebrate #camden #churches organized people celebrating years audubon nj 	D	2015	10
37682	Steny Hoyer	pleased host congressional hackathon w explore role digital platforms legislative process	D	2015	10
37683	Donald Norcross	light #hurricanejoaquin plan prepared though still don't know impact #southjersey	D	2015	10
37684	Chellie Pingree	usda help businesses make clean energy efficiency investments #mepolitics	D	2015	10
37685	Donald Norcross	let video speak shows exactly i've strong advocate #bailreform	D	2015	10
37686	Sen Dianne Feinstein	would also require employers justify higher wages men perform jobs women #fairpay	D	2015	10
37687	SenateEnergyDems	#spr hearing adjourned testimony posted cc	D	2015	10
37688	Bernie Sanders	you're serious climate change cannot encourage excavation transportation dirty oil	D	2015	10
37689	Rep. Keith Ellison	yes israeli pm must stop inciting violence	D	2015	10
37690	David Cicilline	great meeting w impressive students nuala pell leadership program w	D	2015	10
37691	Rep. Bobby Scott	great seeing nn mayor price councilwoman scott marcia price pastor ivan mrs harris fbc denbigh's 153rd anniv	D	2015	10
37692	Bernie Sanders	organize grassroots level whether it's gay rights raising minimum wage that's change takes place	D	2015	10
37693	Kathleen Rice	we've made real progress years since #sandy  making progress every day taking important steps towards full recovery  1/3	D	2015	10
37694	Senator Patty Murray	student debt still rising new grads washington state class graduated w almost 25k debt ?	D	2015	10
37695	Sen Dianne Feinstein	mojave trails sand snow castle mountains think places worthy protection #protectcadesert	D	2015	10
37696	Senator Jeff Merkley	fixing broken system political parties opportunism  focus making democracy work americans	D	2015	10
37697	Senator Patty Murray	 come long way since days domestic violence  family issue   let #besafe	D	2015	10
37698	D Wasserman Schultz	ohioans know john kasich best know richest americans  anything celebrate	D	2015	10
37699	Congressman Tim Ryan	#tpp threatens manufacturing innovation leads american jobs shipped overseas nafta steroids	D	2015	10
37700	Joaquin Castro	glad meet folks hill today #actober	D	2015	10
37701	Senator Jeff Merkley	says #orfire season second costly record 76.5  critical fix wildfire funding	D	2015	10
37702	Senator Bob Menendez	a3 asthma example health risk inaction latinos 3x likely die asthma racial ethnic groups #voces4climate	D	2015	10
37703	Senator Ben Cardin	urging colleagues end brinkmanship pay bills avoid default	D	2015	10
37704	SenateEnergyDems	pressed nominees necessity moving forward waste treatment plant issues	D	2015	10
37705	Armed Services	#fy16ndaa	D	2015	10
37706	Mark Warner	joined colleagues today introduce legislation improve oversight #irandeal strengthen u policy toward iran	D	2015	10
37707	Senate Energy GOP	murkowski gop grill interior nominees obama #energy policy via	D	2015	10
37708	Ed & Workforce Cmte	administration  actions last yrs wreaking havoc working families #starttheconvo	D	2015	10
37709	Eleanor H. Norton	hbcus generate bachelor degrees stem fields give us aa engineering degrees #stopthecuts #cbcathowardu	D	2015	10
37710	David Cicilline	happy birthday colleague friend	D	2015	10
37711	Donald Norcross	right answering constituent question #jobs #job creation	D	2015	10
37712	Rep Cedric Richmond	able donate jersey benefit #scfloodrelief	D	2015	10
37713	Gregory Meeks	read full statement president's announcement afghanistan troop levels	D	2015	10
37714	Sen. Jeanne Shaheen	agree w  turning away families fleeing violence  take statue liberty tear	D	2015	10
37715	Jose E. Serrano	thank karencole yogur birthday wishes gracias	D	2015	10
37716	Bernie Sanders	must read american middle class worse compared others around world	D	2015	10
37717	Joaquin Castro	attended armed services hearing ways acquire equipment efficiently meet future defense needs	D	2015	10
37718	Rep. Emanuel Cleaver	choosing one  words carefully conversation important civility enhances effectiveness speech #civilityfridays	D	2015	10
37719	Gregory Meeks	read full #eximbank statement	D	2015	10
37720	Rep. Hank Johnson	alabama's closure driver's license offices isn't inconvenient it's problem voters #restorethevra	D	2015	10
37721	Senator Patty Murray	women  pension protection act ? would extend critical protections women  #retirementsecurity	D	2015	10
37722	Eleanor H. Norton	sequester cuts feed anger americans year income decline  cuts help congress #strongeramericanfuture	D	2015	10
37723	Michael F. Bennet	we're working good samaritan hard rock mining reform bills prevent future gold king mines	D	2015	10
37724	Science Committee	press release subcommittees discuss electric power grid #cybersecurity	D	2015	10
37725	Senator Patty Murray	murray senate floor speak honoring #veterans comes care	D	2015	10
37726	Rep. Hank Johnson	great weekend w constituents happy intro new piney grove's men's day celebration	D	2015	10
37727	US Rep E.B.Johnson	today celebrate women #stem ada lovelace day pioneer	D	2015	10
37728	Congressman Tim Ryan	thanks everyone attended important briefing must everything help suffering	D	2015	10
37729	Sen Dianne Feinstein	next congress must pass consumer drone safety act protect u airspace public	D	2015	10
37730	Senate Energy GOP	summer sunsets #alaska truly special #alaskaday	D	2015	10
37731	Rep. Marcia L. Fudge	thank reaching	D	2015	10
37732	Rep. Ed Perlmutter	#paygap costing colorado billion per year  cosponsoring #paycheckfairnessact b c women deserve #equalpay	D	2015	10
37733	Rep. Betty McCollum	congrats bobbi cordano selected lead i've enjoyed working years	D	2015	10
37734	Chellie Pingree	thanks	D	2015	10
37735	David Cicilline	wonderful w many friends colleagues	D	2015	10
37736	Donald Norcross	congratulations colleague honored state conference princeton moments ago	D	2015	10
37737	Senate Energy GOP	thank joining hearing strategic petroleum reserve today catch anything missed online	D	2015	10
37738	US Rep E.B.Johnson	son dallas nfl lineman jonathan scott spoke today fight psoriasis	D	2015	10
37739	Jim Himes	plus country get food books place smallest town ct guesses	D	2015	10
37740	Donald Norcross	article today #southjersey pilgrims guests #popeindc	D	2015	10
37741	Rep. Don Beyer	proud sign bipartisan #exim4jobs discharge petition need export financing support american jobs	D	2015	10
37742	Ed Markey	discussed us leadership headed #cop21 w todd stern special envoy climate change #actonclimate	D	2015	10
37743	Senator Patty Murray	murray ? today  gop  work w dems bipartisan budget deal jobs programs like could funding cut	D	2015	10
37744	Senator Patty Murray	great news washington state awarded grant rebuild ferry terminal congrats	D	2015	10
37745	Senator Jon Tester	register join wednesday live telephone town hall issues important mt sportsmen women	D	2015	10
37746	Ed Markey	great w community leaders discussing ways #stopgunviolence	D	2015	10
37747	Paul Tonko	must reach bipartisan budget agreement strengthen nation  security economy #strongeramericanfuture	D	2015	10
37748	D Wasserman Schultz	rubio's economy big platitudes light specifics forgets american worker combo	D	2015	10
37749	Bonnie WatsonColeman	house floor right w colleagues speak agnst newly finalized #tpp trade deal	D	2015	10
37750	Ed Markey	cisa could open floodgate information sharing would jeopardize americans  #privacy put personal data risk #stopcisa	D	2015	10
37751	US Rep E.B.Johnson	watch 10am est hearing oversight dept homeland security science technology directorate	D	2015	10
37752	Senator Chris Coons	urge senate take #tsca reform chance   afford endanger public health environment longer	D	2015	10
37753	Senate Energy GOP	federal state #arctic #oil lease auctions scheduled november #alaska	D	2015	10
37754	Senator Patty Murray	former chair says  congress pass wage act #wageact	D	2015	10
37755	Jim Cooper	don't want menu cannibal picnic ..	D	2015	10
37756	Sen. Maria Cantwell	today remember students lost lives marysville tulalip thoughts prayers families communities	D	2015	10
37757	Senator Chris Coons	great visit accudyne w see using cad solve problems manufacturers #mfgday15	D	2015	10
37758	D Wasserman Schultz	debates focus real people real issues democratic party works americans #demdebate	D	2015	10
37759	Donald Norcross	signature moment aidhc signed steel beam top building 	D	2015	10
37760	Ruben Gallego	need raise minimum wage #workingfamilies help make ends meet achieve economic stability	D	2015	10
37761	Rep. Don Beyer	second day job drove golf cart narrow bridge wheel went edge took five us lift back	D	2015	10
37762	Michael F. Bennet	reached urge consider bipartisan agenda important colorado nation	D	2015	10
37763	Kathleen Rice	note kathleen gives staff men women weeks #paidleave #leadonleave	D	2015	10
37764	Congressman Tim Ryan	think need give gavel back	D	2015	10
37765	Chuck Schumer	hope nominees fairfax peirce work w #sec shed light millions dollars  worth dark money campaigns #disclose	D	2015	10
37766	Chuck Schumer	great play today runback epic #giantspride #dalvsnyg	D	2015	10
37767	Rep. Rick Larsen	hearing addressing #aviation safety #uas number uas sold us staggering  could soon reach 1m year	D	2015	10
37768	Gregory Meeks	 time put #peopleoverpolitics take threat default table let's  best economy	D	2015	10
37769	Brendan Boyle	great article	D	2015	10
37770	Congressman Tim Ryan	today last day register vote ohio  election make voice heard	D	2015	10
37771	Joaquin Castro	expand opportunity around world glad speak folks important work	D	2015	10
37772	Sen. Debbie Stabenow	joined employees expanded powertrain technical center creating nearly jobs	D	2015	10
37773	Donald Norcross	i'd like meet special #southjersey family-named #angelsinadoption 	D	2015	10
37774	Senator Jeff Merkley	thanks cameron smith staff help making today  event possible	D	2015	10
37775	Sen Dianne Feinstein	holding meeting whitewater preserve p discuss desert monuments hope see #protectcadesert	D	2015	10
37776	Armed Services	#overridetheveto	D	2015	10
37777	Rep. Terri A. Sewell	bipartisan #budgetdeal ends sequester strangled investments keep america global economy keep jobs home	D	2015	10
37778	Nita Lowey	today announced 200,000 grant expand #rockland county's drug court include individuals convicted dwi	D	2015	10
37779	Brendan Boyle	great article	D	2015	10
37780	Senate Energy GOP	calls north american focus #energy policy via	D	2015	10
37781	Armed Services	#fy16ndaa	D	2015	10
37782	Senator Jon Tester	 sponsoring bill help montana distillers brewers grow create jobs #mtpol	D	2015	10
37783	Brendan Boyle	legislative days left avert #gopdefault consumed chaos	D	2015	10
37784	Ways and Means Dems	budget agreement protects millions seniors percent increase monthly medicare part b premiums	D	2015	10
37785	Ways and Means Dems	committee democratic members urged acting admin andy slavitt finalize advance care planning codes ?	D	2015	10
37786	Rep. Diana DeGette	great meet w leaders around world discuss power #women positions political #leadership	D	2015	10
37787	D Wasserman Schultz	talking #gopdebate w i'll watching dc dems working keep growing economy	D	2015	10
