epoch	train_loss	val_loss	val_acc	f1score	recall	precision	time	
1	173.507	156.600	66.451	66.451	0.665	0.665	2015_1q
1	185.202	179.311	58.594	58.594	0.586	0.586	2015_2q
1	166.810	152.485	68.070	68.070	0.681	0.681	2015_3q
1	169.948	160.144	66.204	66.204	0.662	0.662	2015_4q
1	176.984	169.155	65.086	65.086	0.651	0.651	2016_1q
1	184.456	169.112	60.244	60.244	0.602	0.602	2016_2q
1	167.425	152.648	67.175	67.175	0.672	0.672	2016_2q
1	170.565	157.737	66.922	66.922	0.669	0.669	2016_3q
1	183.368	167.467	61.602	61.602	0.616	0.616	2016_4q
1	152.680	142.703	72.947	72.947	0.729	0.729	2017_1q
1	162.797	158.208	71.618	71.618	0.716	0.716	2017_1q_r
1	152.093	143.751	71.701	71.701	0.717	0.717	2017_2q
1	157.065	145.413	71.884	71.884	0.719	0.719	2017_2q_r
